Key	English	Welsh
error.file-upload.try-again	The file could not be uploaded - try again	Nid oedd modd uwchlwytho’r ffeil – rhowch gynnig arall arni
error.file-upload.timeout	The file could not be uploaded - try again	Nid oedd modd uwchlwytho’r ffeil – rhowch gynnig arall arni
error.uploadAnotherFile.required	Select yes if you need to upload another file	Dewiswch ‘Iawn’ os oes angen i chi uwchlwytho ffeil arall
error.file-upload.duplicate	This file has already been uploaded	Mae’r ffeil eisoes wedi’i huwchlwytho
view.upload-file.documents.added	documents added	dogfennau wedi’u hychwanegu
proof-of-authority.title	Upload proof of authority	Uwchlwytho tystiolaeth o awdurdod
proof-of-authority.heading	Upload proof of authority	Uwchlwytho tystiolaeth o awdurdod
proof-of-authority.paragraph1	You must show that the importer has given you authority to receive payment for this specific application.	Mae’n rhaid i chi ddangos bod y mewnforiwr wedi rhoi’r awdurdod i chi gael taliadau ar gyfer y cais penodol hwn.
proof-of-authority.paragraph2	This document must be 6MB or less	Mae’n rhaid i’r ddogfen hon fod yn 6MB neu lai
proof-of-authority.filetypes	Types of files you can upload	Y mathau o ffeiliau y gallwch eu huwchlwytho
proof-of-authority.filetype1	Image (.jpeg, .jpg or .png)	Delwedd (.jpeg, .jpg neu .png)
proof-of-authority.filetype2	PDF (.pdf)	PDF (.pdf)
proof-of-authority.filetype3	MS Word document (.doc or .docx)	Dogfen MS Word (.doc neu .docx)
proof-of-authority.filetype4	MS Excel spreadsheet (.xls or .xlsx)	Taenlen MS Excel (.xls neu .xlsx)
proof-of-authority.filetype5	MS PowerPoint (.ppt or .pptx)	MS PowerPoint (.ppt neu .pptx)
proof-of-authority.filetype6	Open Document Format (.odt, .ods or .odp)	Fformat Dogfen Agored (.odt, .ods neu .odp)
proof-of-authority.filetype7	Text files (.csv or .txt)	Ffeiliau testun (.csv neu .txt)
upload_documents.status.in_progress	Uploading your file	Wrthi’n uwchlwytho’ch ffeil
upload_documents.status.ready	Ready to submit	Barod i gyflwyno
upload_documents_summary.remove.label	Remove	Tynnu
upload_documents_summary.remove.label.hidden	Remove file {0}	Tynnu ffeil {0}
view.amend-upload-file.title	Upload your additional documents	Uwchlwythwch eich dogfennau ychwanegol
view.amend-upload-file.heading	Upload your additional documents	Uwchlwythwch eich dogfennau ychwanegol
view.amend-upload-file.label.upload.first	Upload a file	Uwchlwytho ffeil
view.amend-upload-file.label.upload.next	Upload another file (optional)	Uwchlwytho ffeil arall (dewisol)
view.amend-upload-file.waiting	Your document is being uploaded. You’ll be redirected once the file has been processed.	Mae’ch dogfen wrthi’n cael ei huwchlwytho. Cewch eich ailgyfeirio unwaith y bydd y ffeil wedi’i phrosesu.
form.amend-upload-file.submit	Continue	Yn eich blaen
form.amend-file-uploaded.continue	Continue	Yn eich blaen
site.amend-file.remove	Remove	Tynnu
view.amend-upload-file.checkYourAnswersLabel	Additional uploads	Ffeiliau ychwanegol a uwchlwythwyd
amend.next.step.heading	Send your amended application	Anfon eich cais diwygiedig
amend.next.step.p1	Before sending your amended application, ensure that you have fully reviewed the information you have provided and that it is correct.	Cyn i chi anfon eich cais diwygiedig, gwnewch yn siŵr eich bod wedi adolygu’r holl wybodaeth rydych wedi’i rhoi a’i bod yn gywir.
amend.next.step.p2	You can print a summary of your application on the next page.	Gallwch argraffu crynodeb o’ch cais ar y dudalen nesaf.
amend.site.continue	Accept and send	Derbyn ac anfon
amend-file-upload.help.linkText	Help with file types	Help gyda mathau o ffeil
amend-file-upload.help.line1	Each file must be 6MB or less.	Mae’n rhaid i bob ffeil fod yn 6MB neu lai.
amend-file-upload.help.line2	Types of files you can upload	Y mathau o ffeiliau y gallwch eu huwchlwytho
supported-file-type.help.fileFormat1	Image (.jpeg, .jpg or .png)	Delwedd (.jpeg, .jpg neu .png)
supported-file-type.help.fileFormat2	PDF (.pdf)	PDF (.pdf)
supported-file-type.help.fileFormat3	MS Word document (.doc or .docx)	Dogfen MS Word (.doc neu .docx)
supported-file-type.help.fileFormat4	MS Excel spreadsheet (.xls or .xlsx)	Taenlen MS Excel (.xls neu .xlsx)
supported-file-type.help.fileFormat5	MS PowerPoint (.ppt or .pptx)	MS PowerPoint (.ppt neu .pptx)
supported-file-type.help.fileFormat6	Open Document Format (.odt, .ods or .odp)	Fformat Dogfen Agored (.odt, .ods neu .odp)
supported-file-type.help.fileFormat7	Text files (.csv or .txt)	Ffeiliau testun (.csv neu .txt)
your.details.checkYourAnswersLabel	Your details	Eich manylion
contact.details.checkYourAnswersLabel	Contact details	Manylion cyswllt
payment.information.checkYourAnswersLabel	Payment information	Gwybodaeth talu
importer.details.checkYourAnswersLabel	Importer details	Manylion y mewnforiwr
create.cya.continue	Accept and send	Derbyn ac anfon
isContactProvided.error.required	Select an option to continue	Dewiswch opsiwn i fynd yn eich blaen
isContactProvided.01	Email	E-bost
isContactProvided.02	Phone	Ffôn
phoneNumber.02.hint	Phone number	Rhif ffôn
createOrAmendCase.title	What do you want to do?	Beth hoffech ei wneud?
createOrAmendCase.heading	What do you want to do?	Beth hoffech ei wneud?
createOrAmendCase.01	Start a new application	Dechrau cais newydd
createOrAmendCase.02	Amend an existing application	Diwygio cais sy’n bodoli eisoes
createOrAmendCase.hint.01	Apply for repayment of overpaid import duties or import VAT.	Gwneud cais am ad-daliad o dollau mewnforio neu TAW mewnforio a ordalwyd.
createOrAmendCase.hint.02	Add further information or make changes to an existing application. You will need the claim reference number.	Ychwanegu rhagor o wybodaeth neu wneud newidiadau i gais sy’n bodoli eisoes. Bydd angen y cyfeirnod hawlio arnoch.
createOrAmendCase.error.required	Select if you want to start a new application or amend an existing application	Dewiswch a ydych am ddechrau cais newydd neu ddiwygio cais sy’n bodoli eisoes
doYouOwnTheGoods.title	Is {0} the name on the import documents?	Ai {0} yw’r enw ar y dogfennau mewnforio?
doYouOwnTheGoods.heading	Is {0} the name on the import documents?	Ai {0} yw’r enw ar y dogfennau mewnforio?
doYouOwnTheGoods.error.required	Select if {0} is named on the import documents	Dewiswch ai {0} yw’r enw ar y dogfennau mewnforio
doYouOwnTheGoods.01	Yes	Iawn
doYouOwnTheGoods.02	No	Na
doYouOwnTheGoods.checkYourAnswersLabel	Is {0} the name on the import documents?	Ai {0} yw’r enw ar y dogfennau mewnforio?
declarantName.title	What is your name?	Beth yw’ch enw?
declarantName.heading	What is your name?	Beth yw’ch enw?
declarantName.checkYourAnswersLabel	Your name	Eich enw
declarantName.firstName	First name	Enw cyntaf
declarantName.lastName	Last name	Enw olaf
declarantName.firstName.error.required	Enter your first name	Nodwch eich enw cyntaf
declarantName.lastName.error.required	Enter your last name	Nodwch eich enw olaf
declarantName.firstName.error.length	First name must be 255 characters or less	Mae’n rhaid i’r enw cyntaf fod yn 255 o gymeriadau neu lai
declarantName.lastName.error.length	Last name must be 255 characters or less	Mae’n rhaid i’r enw olaf fod yn 255 o gymeriadau neu lai
representative.declarantAndBusinessName.title	Your details	Eich manylion
representative.declarantAndBusinessName.heading	Your details	Eich manylion
representative.declarantAndBusinessName.declarantName.checkYourAnswersLabel	Your name	Eich enw
representative.declarantAndBusinessName.declarantName	Your name	Eich enw
representative.declarantAndBusinessName.agentName	Business name	Enw’r busnes
representative.declarantAndBusinessName.agentName.checkYourAnswersLabel	Your business name	Enw eich busnes
representative.declarantAndBusinessName.declarantName.error.required	Enter your name	Nodwch eich enw
representative.declarantAndBusinessName.agentName.error.required	Enter your business name	Nodwch enw eich busnes
representative.declarantAndBusinessName.declarantName.error.length	Your name must be 512 characters or less	Mae’n rhaid i’ch enw fod yn 512 o gymeriadau neu lai
representative.declarantAndBusinessName.agentName.error.length	Your business name must be 512 characters or less	Mae’n rhaid i enw eich busnes fod yn 512 o gymeriadau neu lai
representative.importer.title	Who is the importer?	Pwy yw’r mewnforiwr?
representative.importer.heading	Who is the importer?	Pwy yw’r mewnforiwr?
representative.importer.checkYourAnswersLabel	Importer name	Enw’r mewnforiwr
representative.importer.firstName	First Name	Enw cyntaf
representative.importer.lastName	Last Name	Enw olaf
representative.importer.firstName.error.required	Enter your first name	Nodwch eich enw cyntaf
representative.importer.lastName.error.required	Enter your last name	Nodwch eich enw olaf
representative.importer.firstName.error.length	First name must be 255 characters or less	Mae’n rhaid i’r enw cyntaf fod yn 255 o gymeriadau neu lai
representative.importer.lastName.error.length	Last name must be 255 characters or less	Mae’n rhaid i’r enw olaf fod yn 255 o gymeriadau neu lai
feedback.before	This is a new service - your	Gwasanaeth newydd yw hwn – bydd eich
feedback.link	feedback	adborth
feedback.after	will help us to improve it.	yn ein helpu i’w wella.
representative.importer.hint	This must match the information on the import documents.	Mae’n rhaid i hyn gyd-fynd â’r wybodaeth ar y dogfennau mewnforio.
representative.importer.importerName.error.required	Enter the importer’s name	Nodwch enw’r mewnforiwr
representative.importer.importerName.error.length	Importer name must be 512 characters or less	Mae’n rhaid i enw’r mewnforiwr fod yn 512 o gymeriadau neu lai
address.label.select.title	Select an address	Dewiswch gyfeiriad
address.label.edit.postcode	Postcode	Cod post
address.change	Search for a new address	Chwilio am gyfeiriad newydd
amend.application.not.found.title	Application not found	Heb ddod o hyd i’r cais
amend.application.not.found.heading	Application not found	Heb ddod o hyd i’r cais
amend.application.not.found.p1	We cannot find an application with the reference number {0}.	Ni allwn ddod o hyd i gais sydd â’r cyfeirnod {0}.
amend.application.not.found.p2	You can:	Gallwch:
amend.application.not.found.b1	check and	gwirio a
amend.application.not.found.b1.link	enter the application reference number again	nodi cyfeirnod y cais eto
amend.application.not.found.b2	email us at {0} with the additional information, the entry details and name of the importer. Please ensure to include the application reference number <b>{1}</b> in the subject header.	anfon e-bost atom yn {0} gyda’r wybodaeth ychwanegol, manylion y cofnod ac enw’r mewnforiwr. Gwnewch yn siŵr eich bod yn cynnwys cyfeirnod y cais, sef <b>{1}</b>, yn y pennawd pwnc.
amend.application.not.found.email.subject	Application reference {0}	Cyfeirnod y cais {0}
amend.application.closed.title	This application is closed	Mae’r cais hwn wedi cau
amend.application.closed.heading	This application is closed	Mae’r cais hwn wedi cau
amend.application.closed.p1	We cannot add any information to this application as it is closed. You should have received correspondence via post confirming why your application was closed.	Ni allwn ychwanegu unrhyw wybodaeth at y cais hwn gan ei fod wedi cau. Dylech fod wedi derbyn gohebiaeth drwy’r post yn cadarnhau pam y cafodd eich cais ei gau.
amend.application.closed.p2	If you feel this application has been closed in error, you can email us at {0} with the additional information.	Os ydych yn teimlo bod y cais hwn wedi cael ei gau drwy gamgymeriad, gallwch anfon e-bost atom yn {0} gyda’r wybodaeth ychwanegol.
amend.application.closed.p3	You must include the application reference number <b>{0}</b> in the subject header.	Mae’n rhaid i chi gynnwys cyfeirnod y cais, sef <b>{0}</b>, yn y pennawd pwnc.
amend.application.closed.email.subject	Closed application reference {0}	Cyfeirnod y cais sydd wedi cau {0}





claimReason.documents.airway_bill	an <b>airway bill</b> or <b>bill of lading</b> that show shipping details	<b>bil teithrestr awyr</b> neu <b>bil llwytho</b>, sy’n dangos y manylion cludo
claimReason.documents.c88	the <b>C88</b>, which authorises imports from the country of origin	y ddogfen <b>C88</b>, sy’n awdurdodi mewnforion o’r wlad wreiddiol
claimReason.documents.commercial_invoice	a <b>commercial invoice</b>, which shows the value of the goods	a<b>anfoneb fasnachol</b>, sy’n dangos gwerth y nwyddau
claimReason.documents.e2	the <b>E2</b>, which confirms your import entry has been logged by HMRC	y ddogfen <b>E2</b>, sy’n cadarnhau bod eich cofnod mewnforio wedi’i nodi gan CThEM
claimReason.documents.proof_of_origin	<b>proof of origin documents</b>, such as a GSP certificate	<b>dogfennau tystiolaeth o darddiad</b>, megis tystysgrif GSP
claimReason.documents.substitute_entry	a <b>substitute entry</b>, which shows changes made to the original entry	<b>cofnod cyfnewid</b>, sy’n dangos newidiadau a wnaed i’r cofnod gwreiddiol
claimantType.title	Are you the importer?	Ai chi yw’r mewnforiwr?
claimantType.heading	Are you the importer?	Ai chi yw’r mewnforiwr?
checkYourAnswers.title	Check your answers before sending your application	Gwiriwch eich atebion cyn anfon eich cais
furtherInformation.error.required	Enter the additional information	Nodwch yr wybodaeth ychwanegol
bankDetails.title	Enter your bank details	Nodwch eich manylion banc
bankDetails.name.hint	Enter the name as it appears on your bank statement.	Nodwch yr enw fel y mae’n ymddangos ar eich cyfriflen banc.
claimReason.documents.evidence_of_corrected_invoice	evidence of corrected invoice	tystiolaeth o anfoneb wedi’i chywiro
claimReason.documents.evidence_of_export	evidence of the original export	tystiolaeth o’r allforio gwreiddiol
claimReason.documents.currency_charge_evicence	evidence that the invoice has been corrected in another currency	tystiolaeth bod yr anfoneb wedi’i chywiro mewn arian cyfred arall
furtherInformation.error.length	Additional information must be 1400 characters or less	Mae’n rhaid i’r wybodaeth ychwanegol fod yn 1400 o gymeriadau neu lai
furtherInformation.title	Add more information to your application	Ychwanegwch mwy o wybodaeth i’ch cais
furtherInformation.heading	Add more information to your application	Ychwanegwch mwy o wybodaeth i’ch cais
claimantType.02	No, I am a representative of the importer	Na, fi yw cynrychiolydd y mewnforiwr
claimantType.01	Yes	Iawn
reasonForOverpayment.hint	Provide as much information as possible. This will help us to process your application faster.	Darparwch gymaint o wybodaeth â phosibl. Bydd hyn yn ein helpu i brosesu’ch cais yn gyflymach.
amend.application.closed.p2	If you feel we closed this application in error you can email us at {0} with the additional information.	Os ydych yn teimlo ein bod wedi cau’r cais drwy gamgymeriad, gallwch anfon e-bost atom yn {0} gyda’r wybodaeth ychwanegol.
impInfo.checkYourAnswersLabel	Important information	Gwybodaeth bwysig
numberOfEntriesType.02.hint	Multiple entries must all be from the same importer, involve the same reasons for the application and be from before 1 January 2021 or from that date onwards.	Mae’n rhaid i gofnodion lluosog ddod o’r un mewnforiwr, cynnwys yr un rhesymau dros y cais a bod o gyn 1 Ionawr 2021 neu o’r dyddiad hwnnw ymlaen.
claimReason.documents.proof_of_return	proof of return	tystiolaeth o’r adenillion
claimReason.documents.proof_of_quota	proof of the quota and commodity codes that are being claimed against	tystiolaeth o’r cwota a’r codau nwyddau y gwneir hawliad yn eu herbyn
evidenceSupportingDocs.title	Documents we need from you	Dogfennau sydd eu hangen arnom gennych
evidenceSupportingDocs.heading	Documents we need from you	Dogfennau sydd eu hangen arnom gennych
claimantType.error.required	Confirm if you are the importer or their representative	Cadarnhewch ai’r mewnforiwr neu gynrychiolydd y mewnforiwr ydych chi
claimReasonType.error.required	Select the main reason for making an application	Dewiswch y prif reswm dros wneud cais
whomToPay.error.required	Select who you want HMRC to repay	Dewiswch pwy yr hoffech i CThEM ad-dalu
furtherInformation.hintText	This may be information that HMRC has asked for, information you choose to add or a request to cancel your application.	Gall hyn fod yn wybodaeth y mae CThEM wedi gofyn amdani, gwybodaeth y byddwch yn dewis ei hychwanegu neu gais i ganslo’ch cais.
entryDetails.importer.hint	You can find these on the E2 or C88 documents. If you’re unsure, you can speak to your shipping agent or courier.	Gallwch ddod o hyd i’r rhain ar y dogfennau E2 neu C88. Os ydych yn ansicr, gallwch siarad â’ch asiant cludo neu’ch cludwr.
entryDetails.representative.hint	You can find these on the E2 or C88 documents.	Gallwch ddod o hyd i’r rhain ar y dogfennau E2 neu C88.
enterAgentEORI.hint	This has 2 letters, followed by either 12 or 15 numbers. For example, GB123456789123 or GB123456789123000.	Mae hwn yn cynnwys 2 lythyren, wedi’u dilyn gan naill ai 12 neu 15 rhif. Er enghraifft, GB123456789123 neu GB123456789123000.
claimReasonType.title	What is the main reason for making an application?	Beth yw’r prif reswm dros wneud cais?
claimReasonType.heading	What is the main reason for making an application?	Beth yw’r prif reswm dros wneud cais?
whomToPay.title	Who do you want HMRC to repay?	Pwy ydych am i CThEM ad-dalu?
whomToPay.heading	Who do you want HMRC to repay?	Pwy ydych am i CThEM ad-dalu?
numberOfEntriesType.02.label	Number of entries	Nifer y cofnodion
claimReasonType.multiple.title	Why are you making an application?	Pam ydych yn gwneud cais?
claimReasonType.multiple.heading	Why are you making an application?	Pam ydych yn gwneud cais?
claimReasonType.multiple.hintText	Select all that apply	Dewiswch bob un sy’n gymwys
claimReasonType.multiple.error.required	Select why you are making an application	Dewiswch pam eich bod yn gwneud cais
claimReasonType.hint	This would be the reason that applies to most of your application	Dyma fyddai’r rheswm sy’n berthnasol i’r rhan fwyaf o’ch cais
claimReasonType.checkYourAnswersLabel.single	Reason for overpayment	Rheswm dros y gordaliad
claimReasonType.checkYourAnswersLabel.multiple	Reasons for overpayment	Rhesymau dros ordalu
claimReasonType.checkYourAnswersLabel.main	Main reason for overpayment	Prif reswm dros ordalu
reasonForOverpayment.bullet9	why any goods were returned	pam y dychwelwyd unrhyw nwyddau
reasonForOverpayment.bullet10	if any goods have been destroyed by request	os oes unrhyw nwyddau wedi’u dinistrio ar gais
reasonForOverpayment.bullet.claimReasonMultiple	if your application has more than one reason	os oes gan eich cais mwy nag un rheswm
evidenceSupportingDocs.paragraph1.single	The documents we need to process your claim must include:	Mae’n rhaid i’r dogfennau sydd eu hangen arnom i brosesu’ch hawliad gynnwys:
evidenceSupportingDocs.paragraph1.multiple-small	The documents we need <b>for each entry</b> must include:	Mae’n rhaid i’r dogfennau sydd eu hangen arnom <b>ar gyfer pob cofnod</b> gynnwys:
evidenceSupportingDocs.paragraph1.multiple-large	We must have:	Mae’n rhaid i ni gael:
evidenceSupportingDocs.paragraph2.multiple-large	As you are claiming for multiple entries, you can either give us:	Gan eich bod yn hawlio ar gyfer cofnodion lluosog, gallwch naill ai roi i ni:
evidenceSupportingDocs.bullet1.multiple-large	the documents above <b>for each entry</b>	y dogfennau uchod <b>ar gyfer pob cofnod</b>
evidenceSupportingDocs.bullet2.multiple-large	the documents for the oldest entry you have listed. We will ask for more information later.	y dogfennau ar gyfer y cofnod hynaf rydych wedi’i nodi. Byddwn yn gofyn am ragor o wybodaeth yn nes ymlaen.
repaymentType.hint.01	You can only use this option if you made the original payment using a duty deferment account.	Dim ond os gwnaethoch y taliad gwreiddiol gan ddefnyddio cyfrif gohirio tollau y gallwch ddefnyddio’r opsiwn hwn.
bankDetails.title.importer	Enter the importer’s bank details	Nodwch fanylion banc y mewnforiwr
bankDetails.title.representative	Enter your bank details	Nodwch eich manylion banc
bankDetails.hint	This must be a UK account that accepts Bacs payments.	Mae’n rhaid i’r cyfrif hwn fod yn gyfrif yn y DU sy’n derbyn taliadau Bacs.
bankDetails.name.importer.hint	Enter the name as it appears on their bank statement.	Nodwch yr enw fel y mae’n ymddangos ar ei gyfriflen banc.
bankDetails.name.representative.hint	Enter the name as it appears on your bank statement.	Nodwch yr enw fel y mae’n ymddangos ar eich cyfriflen banc.
indirectRepresentative.hintText	An indirect representative acts in their own name but on behalf of another party. Both parties accept joint liability for the information provided.	Mae cynrychiolydd anuniongyrchol yn gweithredu yn ei enw ei hun ond ar ran parti arall. Mae’r ddwy ochr yn derbyn rhwymedigaeth ar y cyd am yr wybodaeth a ddarperir.

numberOfEntriesType.02.hint	Multiple entries must all be from the same importer, involve the same reasons for the application and be from before 1 January 2021 or from that date onwards.	Mae’n rhaid i gofnodion lluosog ddod o’r un mewnforiwr, rhaid iddynt gynnwys yr un rhesymau dros wneud y cais, a rhaid iddynt fod o gyfnod cyn 1 Ionawr 2021 neu o’r dyddiad hwnnw ymlaen.
claimReasonType.multiple.title	Why are you making an application?	Pam yr ydych yn gwneud cais?
claimReasonType.multiple.heading	Why are you making an application?	Pam yr ydych yn gwneud cais?
claimReasonType.multiple.error.required	Select why you are making an application	Dewiswch pam yr ydych yn gwneud cais
reasonForOverpayment.bullet10	if any goods have been destroyed by request	p’un a gafodd unrhyw nwyddau eu dinistrio ar gais
reasonForOverpayment.bullet.claimReasonMultiple	if your application has more than one reason	p’un a oes gan eich cais fwy nag un rheswm
claimReason.documents.commercial_invoice	a <b>commercial invoice</b>, which shows the value of the goods	<b>anfoneb fasnachol</b>, sy’n dangos gwerth y nwyddau
furtherInformation.title	Add more information to your application	Ychwanegwch ragor o wybodaeth at eich cais
furtherInformation.heading	Add more information to your application	Ychwanegwch ragor o wybodaeth at eich cais
furtherInformation.hintText	This may be information that HMRC has asked for, information you choose to add or a request to cancel your application.	Gall hyn fod yn wybodaeth y mae CThEM wedi gofyn amdani, gwybodaeth yr ydych yn dewis ei hychwanegu neu neges yn gofyn am gael canslo’ch cais.

timeout.title	You’re about to signed out	Rydych ar fin cael eich allgofnodi
timeout.messageSuffix	Your answers will not be saved.	Ni chaiff eich atebion eu cadw.